Algorithm,Start X,Optimal X,Max f(x)
Hill Climbing,1.678690858872237,1.778690858872237,11.06578569954224
Hill Climbing,3.436582892127384,3.436582892127384,15.682561162556457
Hill Climbing,7.327172147929529,7.277172147929529,5.260142712834956
Hill Climbing,6.03014327295509,6.03014327295509,11.878518291275194
Hill Climbing,7.565780669883537,7.565780669883537,3.2852082142849124
Hill Climbing,0.6300735420563344,0.6800735420563344,4.978088313845625
Hill Climbing,6.113306536645924,6.113306536645924,11.53393548216961
Hill Climbing,7.441158630261988,7.441158630261988,4.158427281373438
Hill Climbing,6.550097075261131,6.450097075261131,9.99702432179685
Hill Climbing,7.8031497518459725,7.8031497518459725,1.5360519650339182
Hill Climbing,2.367494258477472,2.417494258477472,13.495675578048234
Hill Climbing,4.862831390037661,4.862831390037661,15.255521992365678
Hill Climbing,1.3913827150967117,1.3913827150967117,9.195115860903798
Hill Climbing,2.963927705767259,2.963927705767259,14.926554201123304
Hill Climbing,2.728746414408187,2.778746414408187,14.50853967967914
Hill Climbing,1.3057097420882764,1.3557097420882764,9.007729031913149
Hill Climbing,2.899983619657461,3.0999836196574604,15.189970515115114
Hill Climbing,3.0951342094272567,3.1451342094272565,15.269204480108439
Hill Climbing,1.4746432237067078,1.5246432237067078,9.87260883005888
Hill Climbing,0.840784458370849,0.840784458370849,6.019357161528831
Hill Climbing,6.082966255684826,5.932966255684827,12.263641454383782
Hill Climbing,1.6165881270604716,1.7165881270604717,10.786030218518796
Hill Climbing,6.014354953549019,5.9643549535490195,12.14130961646743
Hill Climbing,7.237940578080427,7.187940578080427,5.837034870628232
Hill Climbing,1.7019568470873576,1.7019568470873576,10.71899766735132
Hill Climbing,0.6855482608934649,0.6855482608934649,5.014409669133665
Hill Climbing,2.334284227611869,2.5342842276118684,13.851677274572662
Hill Climbing,1.9131329551308252,1.9131329551308252,11.644985937038998
Hill Climbing,2.4726449305164913,2.522644930516491,13.817421998671376
Hill Climbing,3.742840548984386,3.9928405489843852,15.999948742261155
Hill Climbing,6.8209985077473485,6.570998507747349,9.389966673160902
Hill Climbing,6.7484535629456905,6.648453562945691,8.985693724920274
Hill Climbing,2.255181652878899,2.3551816528788985,13.294572604973808
Hill Climbing,7.599987160703334,7.549987160703334,3.3975911588414807
Hill Climbing,1.7784799293942593,1.7784799293942593,11.064848575895866
Hill Climbing,0.15820211454926003,0.30820211454926,2.370628372981445
Hill Climbing,2.2054468335325916,2.3054468335325913,13.12848956601528
Hill Climbing,3.47440008656303,3.5244000865630296,15.773804722338745
Hill Climbing,5.925319111584855,5.875319111584855,12.483178229724588
Hill Climbing,1.4292259824497693,1.4292259824497693,9.391120950688645
Hill Climbing,4.619390170208547,4.619390170208547,15.616355817049028
Hill Climbing,4.58098690406437,4.53098690406437,15.718052907712135
Hill Climbing,7.190609494377992,7.190609494377992,5.820011054385013
Hill Climbing,1.3907094492544463,1.3907094492544463,9.191602821789964
Hill Climbing,0.49147812361797527,0.5414781236179753,4.038626430586957
Hill Climbing,2.1151765000851537,2.1651765000851535,12.633422724160233
Hill Climbing,5.7843435526701565,5.7843435526701565,12.816118086044444
Hill Climbing,5.594744654185847,5.594744654185847,13.456789487945663
Hill Climbing,0.059319323969755366,0.059319323969755366,0.4710358095618137
Hill Climbing,1.7548291196592185,1.7548291196592185,10.9592077180698
Stochastic Hill Climbing,7.171468120410449,3.8714681204104604,15.983479555929181
Stochastic Hill Climbing,4.293740362956873,3.6437403629568754,15.873079071013901
Stochastic Hill Climbing,0.736579775373932,5.336579775373922,14.213554504061396
Stochastic Hill Climbing,3.9158750036878818,3.4658750036878834,15.714710488314582
Stochastic Hill Climbing,1.0212819395703878,3.871281939570382,15.983431660919237
Stochastic Hill Climbing,4.3396494605393094,4.789649460539308,15.37645372946998
Stochastic Hill Climbing,5.111193263317849,3.261193263317856,15.454164605833082
Stochastic Hill Climbing,1.9399407093395844,4.489940709339576,15.759958101331833
Stochastic Hill Climbing,0.11277091908490622,3.6627709190849016,15.886276546985158
Stochastic Hill Climbing,0.16936452107019573,2.569364521070195,13.953282126427288
Stochastic Hill Climbing,5.305339103264745,4.355339103264749,15.873734121691005
Stochastic Hill Climbing,4.151072350631847,4.001072350631848,15.999998850064122
Stochastic Hill Climbing,3.701726660150376,4.4017266601503735,15.838615690524426
Stochastic Hill Climbing,3.787234047707355,4.837234047707351,15.299039149359565
Stochastic Hill Climbing,7.2966874159344774,3.8466874159344897,15.976495251567156
Stochastic Hill Climbing,4.434801341680352,5.0848013416803495,14.823206049088514
Stochastic Hill Climbing,3.7387420857478215,3.4387420857478226,15.684989553689295
Stochastic Hill Climbing,5.672801816618447,3.822801816618454,15.96860080380628
Stochastic Hill Climbing,2.813311522093949,4.413311522093943,15.829173585704387
Stochastic Hill Climbing,0.7552350775775745,4.705235077577566,15.502643485354165
Stochastic Hill Climbing,0.7070489980320858,4.307048998032079,15.905720912807496
Stochastic Hill Climbing,2.633845558622112,3.783845558622108,15.953277257472612
Stochastic Hill Climbing,0.43380937135778375,4.433809371357777,15.811809429322171
Stochastic Hill Climbing,2.2738478552939405,4.223847855293934,15.949892137680306
Stochastic Hill Climbing,3.8398726627413833,2.1398726627413893,12.53992628918319
Stochastic Hill Climbing,0.02547519457032532,3.5254751945703218,15.774826209031925
Stochastic Hill Climbing,2.1310472046891453,3.9810472046891388,15.999640791549904
Stochastic Hill Climbing,7.005139304981511,3.655139304981523,15.881071101031372
Stochastic Hill Climbing,5.91677965082027,3.816779650820277,15.96643030364646
